Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
20958539,"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive (Mental Mastery Book 1)",Kevin Horsley,"Horsley, Kevin",,"=""""","=""""",5,3.93,TCK Publishing,Kindle Edition,136,2014,2014,,2020/02/18,,,read,,,,1,,,0,,,,,
43611499,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""""","=""""",5,4.30,Anchor,Kindle Edition,478,2019,2019,2020/01/28,2019/11/21,,,read,,,,1,,,0,,,,,
23110596,"Lịch sử Việt Nam, từ nguồn gốc đến giữa thế kỷ XX",Lê Thành Khôi,"Khôi, Lê Thành","Nguyễn Nghị, Nguyễn Thừa Hỷ","=""""","=""9786047709502""",0,4.31,Nhã Nam & NXB Thế Giới,Paperback,621,2014,2014,,2019/12/15,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
39021102,"HBR's 10 Must Reads 2019: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article ""Now What?"" by Joan C. Williams and Suzanne Lebsock) (HBR's 10 Must Reads)",Harvard Business Review,"Review, Harvard Business",,"=""""","=""""",0,3.69,Harvard Business Review Press,Kindle Edition,272,2018,,,2018/12/26,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",5,4.02,"Little, Brown and Company",Hardcover,388,2019,2019,,2019/10/08,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",4,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2019/09/10,2019/07/15,,,read,,,,1,,,0,,,,,
12391521,The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,"Ronson, Jon",,"=""1594485755""","=""9781594485756""",4,3.94,Riverhead Books,Paperback,275,2012,2011,,2019/07/11,,,read,,,,1,,,0,,,,,
35876360,The Big Ones: How Natural Disasters Have Shaped Us and What We Can Do about Them,Lucy    Jones,"Jones, Lucy",,"=""0385542704""","=""9780385542708""",4,4.13,Doubleday Books,Hardcover,242,2018,2018,2019/06/14,2019/01/24,,,read,,,,1,,,0,,,,,
18628760,Invisible Cities,Italo Calvino,"Calvino, Italo",,"=""""","=""""",5,4.10,Houghton Mifflin Harcourt,Kindle Edition,165,2013,1972,2019/01/24,2019/01/16,,,read,,,,1,,,0,,,,,
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",5,4.35,Scribner,Hardcover,368,2017,2017,2019/05/04,2019/03/29,,,read,,,,1,,,0,,,,,
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",2,4.16,Random House,Hardcover,372,2018,2018,2019/02/22,2019/01/30,,,read,,,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",2,4.33,Sceptre,Hardcover,342,2018,2018,2019/01/30,2019/01/22,,,read,,,,1,,,0,,,,,
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,4.14,"Oxford University Press, USA",Paperback,360,2006,1976,,2019/01/22,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.21,Harper,Kindle Edition,450,2017,2015,2019/01/16,2019/01/13,,,read,,,,1,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",5,4.38,Knopf Publishing Group,Hardcover,339,2018,2018,2019/01/12,2018/12/04,,,read,,,,1,,,0,,,,,
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0062218360""","=""9780062218360""",3,3.84,William Morrow,ebook,304,2014,2014,,2019/01/02,,,read,,,,1,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",4,4.18,Harper Business,Paperback,320,2006,1984,,2019/01/02,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",Prottasha Prachurjo Sayed Fayej Ahmed,"=""""","=""""",4,4.39,Vintage,Paperback,512,2015,2011,,2018/08/22,,,read,,,,1,,,0,,,,,
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",5,4.14,Simon & Schuster,Hardcover,627,2011,2011,2018/12/26,2017/10/27,,,read,"As someone who has always hated steve jobs for what he represents (stubborn, self-absorb, toxic etc.) I came to understand, thanks to this book, how big of a contribution he made to this world.",,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",5,3.99,William Morrow,Hardcover,268,2006,2005,,2018/12/03,,,read,,,,1,,,0,,,,,
6402364,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0060889578""","=""9780060889579""",5,3.99,William Morrow,Hardcover,270,2009,2009,,2018/08/04,,,read,,,,1,,,0,,,,,
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",Эшли Вэнс,"=""0062301233""","=""9780062301239""",5,4.21,Ecco,Hardcover,392,2015,2015,,2018/07/22,,,read,,,,1,,,0,,,,,
6687247,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,"Sorkin, Andrew Ross",,"=""0670021253""","=""9780670021253""",4,4.12,Viking,Hardcover,600,2009,2009,,2018/07/08,,,read,,,,1,,,0,,,,,
22124291,How to Be Here: A Guide to Creating a Life Worth Living,Rob Bell,"Bell, Rob",,"=""0062356291""","=""9780062356291""",3,3.94,HarperOne,Hardcover,210,2016,2016,,2018/07/08,,,read,,,,1,,,0,,,,,
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""1594205078""","=""9781594205071""",5,4.42,Penguin Press,Hardcover,790,2017,2017,,2017/11/01,,,read,,,,1,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",Carlo Prosperi,"=""0307352145""","=""9780307352149""",3,4.05,"Crown Publishing Group/Random House, Inc.",Hardcover,352,2012,2012,2018/01/01,2018/02/24,,,read,,,,1,,,0,,,,,
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316078573""","=""9780316078573""",4,3.85,"Little, Brown and Company",Hardcover,444,2009,2009,2018/01/01,2018/01/29,,,read,,,,1,,,0,,,,,
13356717,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,"Cardone, Grant",,"=""1608322564""","=""9781608322565""",3,4.08,Greenleaf Book Group Press,Hardcover,256,2012,2008,2018/01/01,2018/01/10,,,read,,,,1,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",5,4.37,Harper Business,Hardcover,274,2016,2016,2018/01/01,2018/01/10,,,read,,,,2,,,0,,,,,
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.46,Scribner,Hardcover,400,2016,2016,,2017/10/27,,,read,,,,1,,,0,,,,,
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",2,4.08,Bard Press (TX),Hardcover,240,2013,2013,2017/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
34951036,The Inversion Factor: How to Thrive in the IoT Economy,Linda Bernardi,"Bernardi, Linda","Sanjay Sarma, Kenneth Traub","=""0262037270""","=""9780262037273""",3,3.68,MIT Press,Hardcover,240,2017,,2017/01/01,2017/11/27,,,read,,,,1,,,0,,,,,
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393351599""","=""9780393351590""",5,4.13,W. W. Norton  Company,Paperback,304,2015,2014,2017/11/27,2017/11/18,,,read,,,,1,,,0,,,,,
29238799,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,"Cialdini, Robert B.",,"=""1501109790""","=""9781501109799""",3,3.99,Simon  Schuster,Hardcover,432,2016,2016,2017/11/01,2017/11/02,,,read,,,,1,,,0,,,,,
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",0,4.14,W. W. Norton  Company,Paperback,310,2010,1989,,2017/11/18,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""039335315X""","=""9780393353150""",5,4.26,W. W. Norton  Company,Paperback,320,2015,2010,2017/01/01,2017/11/14,,,read,,,,1,,,0,,,,,
31562247,"The Fix (Amos Decker, #3)",David Baldacci,"Baldacci, David",,"=""""","=""""",4,4.16,Grand Central Publishing,Kindle Edition,434,2017,2017,2017/01/01,2017/11/14,,,read,,,,1,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",2,3.92,Harper,ebook,224,2016,2016,2017/10/01,2017/10/26,,,read,,,,1,,,0,,,,,
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",4,3.97,Harvard Business Review Press,Hardcover,240,2005,1994,2017/10/01,2017/11/04,,,read,,,,1,,,0,,,,,
102733,One Past Midnight: The Langoliers,Stephen King,"King, Stephen",Willem Dafoe,"=""0453007449""","=""9780453007443""",5,3.90,Penguin/HighBridge Audio,Audio Cassette,9,1990,1989,,2017/11/02,fiction,fiction (#3),read,,,,1,,,0,,,,,
133267,Three Past Midnight: The Library Policeman,Stephen King,"King, Stephen",Ken Howard,"=""0453007481""","=""9780453007481""",4,3.87,Highbridge Audio,Audio Cassette,540,1991,1990,,2017/11/02,fiction,fiction (#4),read,,,,1,,,0,,,,,
133266,Four Past Midnight,Stephen King,"King, Stephen",,"=""""","=""""",4,3.94,New English Library,Mass Market Paperback,930,1991,1990,,2017/11/01,fiction,fiction (#1),read,,,,1,,,0,,,,,
133268,"Two Past Midnight: Secret Window, Secret Garden",Stephen King,"King, Stephen",James Woods,"=""0453007465""","=""9780453007467""",3,3.94,Highbridge Audio,Audio Cassette,140,1991,1991,,2017/11/02,fiction,fiction (#2),read,,,,1,,,0,,,,,
33449,The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,Al Ries,"Ries, Al",Jack Trout,"=""0887306667""","=""9780887306662""",5,4.04,Harper Business,Paperback,143,1994,1993,2017/01/01,2017/11/01,,,read,,,,1,,,0,,,,,
25159062,Narconomics: How to Run a Drug Cartel,Tom Wainwright,"Wainwright, Tom",,"=""1610395832""","=""9781610395830""",4,4.16,PublicAffairs,Hardcover,288,2016,2016,2017/01/01,2017/11/01,,,read,,,,1,,,0,,,,,
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",4,3.95,"Little, Brown and Company",Hardcover,305,2013,2013,2017/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",3,4.10,Currency,Hardcover,299,2011,2011,2017/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
10534,The Art of War,Sun Tzu,"Tzu, Sun","Thomas Cleary, Pulat Otkan","=""""","=""""",3,3.97,Harper Press,Paperback,273,2005,-500,2017/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.17,"Little, Brown and Company",Hardcover,309,2008,2008,2017/01/01,2017/10/27,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",5,3.98,Back Bay Books,Paperback,301,2002,2000,2017/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
