Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.32,Scribner,Hardcover,592,2016,2016,,2021/05/09,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.72,O'Reilly,ebook,562,,2015,,2021/05/09,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
22091581,Traction: A Startup Guide to Getting Customers,Gabriel Weinberg,"Weinberg, Gabriel",Justin Mares,"=""0976339609""","=""9780976339601""",3,4.09,S-curve Publishing,Hardcover,288,2014,2014,2021/05/03,2021/03/11,,,read,,,,1,,,0,,,,,
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",5,4.38,Random House,Hardcover,272,2019,2019,2021/05/03,2021/04/15,,,read,,,,1,,,0,,,,,
411722,All of Statistics: A Concise Course in Statistical Inference,Larry Wasserman,"Wasserman, Larry",,"=""0387402721""","=""9780387402727""",0,4.21,Springer,Hardcover,442,2004,2003,,2021/04/23,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
19148900,Understanding Machine Learning,Shai Shalev-Shwartz,"Shalev-Shwartz, Shai",Shai Ben-David,"=""1107057132""","=""9781107057135""",0,4.25,Cambridge University Press,Hardcover,410,2014,2014,,2021/04/20,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
14744694,Python for Data Analysis,Wes McKinney,"McKinney, Wes",,"=""1449319793""","=""9781449319793""",4,4.14,O'Reilly Media,Paperback,400,2012,2011,,2021/04/20,,,read,,,,1,,,0,,,,,
44573628,Super Pumped: The Battle for Uber,Mike Isaac,"Isaac, Mike",,"=""0393652246""","=""9780393652246""",0,4.11,W. W. Norton  Company,Hardcover,387,2019,2019,,2021/04/15,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
11865558,Venture Deals,Brad Feld,"Feld, Brad",Jason Mendelson,"=""0470929820""","=""9780470929827""",0,4.07,John Wiley & Sons,Hardcover,219,2011,2011,,2021/04/01,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
56668328,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316296619""","=""9780316296618""",0,4.06,"Little, Brown and Company",Hardcover,256,2021,2021,,2021/03/30,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
50748232,The Innovation Stack: Building an Unbeatable Business One Crazy Idea at a Time,Jim McKelvey,"McKelvey, Jim",,"=""0593086732""","=""9780593086735""",0,4.22,Portfolio,Hardcover,288,2020,,,2021/03/29,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.11,Random House,Hardcover,375,2012,2012,,2021/03/11,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
36607149,Explosive Growth: A Few Things I Learned While Growing To 100 Million Users - And Losing $78 Million,Cliff Lerner,"Lerner, Cliff",,"=""""","=""""",4,4.24,Clifford Ventures Corporation,Kindle Edition,314,2017,2017,2021/03/10,2021/01/19,,,read,,,,1,,,0,,,,,
26270488,"Lessons in Corporate Finance: A Case Studies Approach to Financial Tools, Financial Policies, and Valuation",Paul Asquith,"Asquith, Paul",Lawrence A. Weiss,"=""111920741X""","=""9781119207412""",0,4.53,Wiley,Hardcover,496,2016,2016,,2021/03/08,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.29,Knopf,Hardcover,287,2009,2009,,2021/02/24,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",4,3.94,W. W. Norton  Company,Paperback,304,2014,2012,,2021/02/21,,,read,,,,1,,,0,,,,,
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,"=""1591847788""","=""9781591847786""",4,4.09,Portfolio,Hardcover,256,2014,2013,,2021/02/21,,,read,,,,1,,,0,,,,,
26457146,Python Data Science Handbook: Tools and Techniques for Developers,Jake Vanderplas,"Vanderplas, Jake",,"=""1491912057""","=""9781491912058""",0,4.31,O'Reilly Media,Paperback,500,2016,2016,,2021/02/07,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",4,4.23,Harper Business,Hardcover,304,2014,2014,2021/01/22,2020/09/09,,,read,,,,1,,,0,,,,,
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",0,4.23,Wiley,Hardcover,349,2017,2008,,2020/12/18,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
51070490,"Ready, Set, Growth hack: A beginners guide to growth hacking success",Nader Sabry,"Sabry, Nader",,"=""""","=""""",0,4.89,,Kindle Edition,177,2020,,,2020/12/07,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
